1982/328   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
18:35:29 0.74  61.51  70.96 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 84.46 639.7  41551.
18:36:10 0.74  61.51  70.96 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 85.61 639.8  32605.
18:36:51 0.74  61.51  70.95 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 89.14 637.8  36370.
18:37:32 0.74  61.51  70.94 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 89.77 637.9  32374.
18:38:12 0.74  61.51  70.94 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.104.82 640.4  33108.
18:38:53 0.74  61.51  70.93 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 89.12 639.0  33953.
18:39:33 0.74  61.51  70.93 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 94.67 636.4  40268.
18:40:14 0.74  61.51  70.92 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 79.85 633.1  39404.
18:40:54 0.74  61.51  70.91 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 95.42 633.0  40326.
18:41:35 0.74  61.51  70.91 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 75.44 625.1  44117.
18:42:15 0.74  61.51  70.90 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 91.99 630.2  32290.
18:44:17 0.74  61.51  70.88 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.106.51 638.8  34274.
18:44:57 0.74  61.51  70.88 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.138.29 643.0  34213.
18:45:38 0.74  61.51  70.87 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.117.17 645.1  34193.
18:46:18 0.74  61.51  70.87 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.110.90 640.7  38303.
18:46:59 0.74  61.51  70.86 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.117.27 633.6  37848.
18:47:39 0.74  61.51  70.86 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.119.08 633.5  47116.
18:48:20 0.74  61.51  70.85 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.112.10 627.7  41817.
18:49:00 0.74  61.51  70.84 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.110.13 627.3  36656.
18:49:41 0.74  61.51  70.84 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.111.35 627.7  41801.
18:50:21 0.74  61.51  70.83 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.109.66 627.0  36776.
18:51:02 0.74  61.51  70.83 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.107.18 624.5  43179.
18:51:42 0.74  61.51  70.82 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 98.47 631.2  41931.
18:52:23 0.74  61.51  70.81 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 94.57 620.5  39280.
18:53:03 0.74  61.51  70.81 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 91.26 619.4  34570.
18:53:44 0.74  61.51  70.80 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 97.72 620.0  40105.
18:54:24 0.74  61.51  70.80 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 93.20 617.7  34333.
18:55:05 0.74  61.51  70.79 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 93.12 615.1  43721.
18:55:45 0.74  61.51  70.78 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 95.30 613.1  39446.
