1976/049   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 3:46:55 0.89 350.39 225.18 -6.46 1638   2.39   713.8 269648.  3.40 -0.45  -3.85   3.79  -0.49 0.98 1.30 1.74  0.09 737.8 791273.  2.15 711.8 282330.
 3:47:36 0.89 350.39 225.18 -6.46 1638   2.61   699.1 252964.  2.53  1.44  -5.05   2.29  -1.30 0.48 0.59 1.27  0.07 754.9 754266.  2.27 703.2 294076.
 3:48:16 0.89 350.39 225.17 -6.46 1638   2.72   709.7 250053.  2.55 -0.96  -5.22   2.29  -1.13 0.34 0.44 0.81  0.09 757.51083997.  2.49 709.3 268609.
 3:48:57 0.89 350.39 225.16 -6.46 1638   2.54   704.8 239970.  0.18 -1.69  -5.20   0.33  -2.51 0.25 0.88 0.55  0.08 736.01052604.  2.23 710.0 280875.
 3:49:37 0.89 350.39 225.16 -6.46 1638   2.60   735.7 252912.  2.53 -2.90  -4.19  -0.02  -3.27 1.07 1.24 1.27  0.07 775.61661755.  2.15 734.0 222299.
 3:50:18 0.89 350.39 225.15 -6.46 1638   2.61   753.8 230770.  4.17 -1.42  -0.78   1.04  -2.52 1.08 4.18 1.65  0.08 764.8 577342.  2.25 754.7 221727.
 3:50:58 0.89 350.39 225.14 -6.46 1638   2.31   746.7 212735.  5.61  0.90  -0.37   5.19  -1.33 1.78 0.81 1.22  0.08 738.1 940546.  2.08 742.6 214502.
 3:51:39 0.89 350.39 225.14 -6.46 1638   2.24   732.2 232122.  2.90 -2.44  -3.72   3.91  -2.18 0.88 0.87 1.14  0.11 743.7 979839.  2.13 731.4 267725.
 3:52:19 0.89 350.39 225.13 -6.46 1638   2.56   708.6 278588.  2.62 -1.00  -4.22   2.29  -3.09 0.70 0.55 0.77  0.09 752.71272980.  2.20 705.4 264554.
 3:53:00 0.89 350.39 225.13 -6.46 1638   2.86   705.2 204783. -2.10  0.49  -4.84  -3.10  -0.75 0.46 0.62 0.90  0.07 757.7 877552.  2.17 707.1 207849.
 3:53:40 0.89 350.39 225.12 -6.46 1638   2.49   707.6 234409. -2.64  0.20  -5.18  -3.19   0.13 0.44 0.54 0.50  0.07 768.0 702707.  2.15 706.9 232018.
 3:54:21 0.89 350.39 225.11 -6.46 1638   2.40   698.0 228587. -2.09  1.59  -5.54  -2.56   0.40 0.29 0.41 0.38  0.07 756.9 646157.  2.06 698.4 209668.
 3:55:01 0.89 350.39 225.11 -6.46 1638   2.49   704.0 227444. -2.19  0.10  -5.33  -2.95   0.15 0.40 0.46 0.55  0.08 739.7 705201.  2.12 704.6 242673.
 3:55:42 0.89 350.39 225.10 -6.46 1638   2.77   705.9 242101. -2.80  1.56  -5.00  -3.48  -0.32 0.35 0.45 0.46  0.09 753.0 831398.  2.24 708.5 197402.
 3:56:22 0.89 350.39 225.09 -6.46 1638   2.71   703.5 230770. -1.87  0.82  -5.20  -2.92  -0.15 0.33 0.50 0.44  0.07 736.4 941377.  2.33 704.5 245116.
 3:57:03 0.89 350.39 225.09 -6.46 1638   2.60   701.0 213515. -2.21  0.70  -5.22  -2.99  -0.51 0.29 0.34 0.38  0.09 735.31142625.  2.16 704.6 205303.
 3:57:43 0.89 350.39 225.08 -6.46 1638   2.55   709.6 248234. -2.64  1.56  -5.12  -3.20   0.20 0.31 0.41 0.44  0.07 750.5 923290.  2.22 709.2 240282.
 3:58:24 0.89 350.39 225.07 -6.46 1638   2.51   712.2 215126. -3.31  0.87  -4.74  -3.89   0.16 0.32 0.31 0.52  0.05 753.0 754682.  2.11 710.6 208421.
 3:59:04 0.89 350.39 225.07 -6.46 1638   2.32   705.0 240282. -2.37  0.98  -5.18  -3.44  -0.11 0.32 0.40 0.32  0.09 732.4 928280.  2.09 704.7 235812.
 3:59:45 0.89 350.39 225.06 -6.46 1638   2.25   695.0 223026. -1.21  2.22  -5.39  -2.86   0.03 0.44 0.85 0.77  0.07 781.31263208.  1.98 695.4 200937.
 4:00:25 0.89 350.39 225.06 -6.46 1638   2.26   692.1 172350. -1.12  0.43  -5.82  -2.04  -0.09 0.24 0.40 0.37  0.08 757.9 968820.  2.08 695.0 240022.
 4:01:06 0.89 350.38 225.05 -6.46 1638   2.65   693.5 213307. -1.31  0.94  -5.84  -2.00  -0.29 0.21 0.36 0.27  0.09 758.51051357.  2.22 695.1 204523.
 4:01:46 0.89 350.38 225.04 -6.46 1638   2.25   700.8 256550. -1.71  0.16  -5.55  -2.70  -0.72 0.21 0.28 0.37 -1.00  -1.0     -1.  2.27 701.3 225261.
 4:02:27 0.89 350.38 225.04 -6.46 1638   2.52   695.6 210864. -1.78  0.71  -5.55  -2.75  -0.80 0.18 0.24 0.33  0.08 742.31292522.  2.12 697.2 198962.
 4:03:07 0.89 350.38 225.03 -6.46 1638   2.38   693.8 174949. -1.21 -0.01  -5.70  -2.51  -0.29 0.28 0.49 0.38  0.07 743.9 715181.  2.10 691.4 150053.
 4:03:48 0.89 350.38 225.03 -6.46 1638   2.46   691.5 217153. -0.69  0.47  -5.92  -1.94  -0.26 0.18 0.36 0.47  0.07 722.7 726199.  2.15 691.1 205407.
 4:04:28 0.89 350.38 225.02 -6.46 1638   2.40   689.9 180926. -0.19  1.12  -6.20  -0.95  -0.39 0.18 0.36 0.24 -1.00  -1.0     -1.  2.21 686.1 146934.
 4:05:09 0.89 350.38 225.01 -6.46 1638   2.48   691.9 182226.  0.27  0.22  -6.24  -0.70  -0.65 0.20 0.21 0.29  0.06 766.4 534930.  2.10 688.8 193452.
 4:05:49 0.89 350.38 225.01 -6.46 1638   2.37   689.1 181498.  0.60  0.63  -6.27  -0.49  -0.29 0.20 0.29 0.33  0.06 742.2 672561.  2.31 687.5 144024.
 4:06:30 0.89 350.38 225.00 -6.46 1638   2.62   691.0 207226.  0.79 -0.21  -6.13  -0.44  -0.57 0.26 0.36 0.50  0.05 769.8 914350.  2.17 690.9 195843.
 4:07:10 0.89 350.38 224.99 -6.46 1638   2.47   689.5 171415.  1.72  0.99  -6.10   0.77  -0.37 0.28 0.60 0.40  0.09 733.8 880462.  2.22 687.2 144387.
 4:07:51 0.89 350.38 224.99 -6.46 1638   2.82   692.6 211696.  1.40  1.12  -6.13   0.89  -0.48 0.22 0.40 0.36  0.10 743.61144912.  2.17 689.6 216893.
 4:08:31 0.89 350.38 224.98 -6.46 1638   2.39   692.5 170999.  1.43  2.13  -6.19   0.60   0.56 0.18 0.31 0.43  0.07 745.0 636386.  2.26 688.2 146830.
 4:09:12 0.89 350.38 224.98 -6.46 1638   2.42   682.3 131186.  0.11  0.22  -6.18  -0.41  -0.22 0.20 0.51 0.54  0.07 741.31091066.  2.09 688.7 196571.
 4:09:52 0.89 350.38 224.97 -6.46 1638   2.20   691.2 183837.  0.70  0.49  -6.12  -0.03  -0.56 0.21 0.38 0.28  0.08 771.91039507.  2.21 687.2 143660.
 4:10:33 0.89 350.38 224.96 -6.46 1638   2.68   689.8 223338.  1.31  0.82  -6.05   0.72  -0.52 0.23 0.30 0.36  0.08 757.2 827863.  2.07 688.2 214450.
 4:11:13 0.89 350.38 224.96 -6.46 1638   2.39   690.8 184304.  1.56  1.06  -5.87   1.40  -0.12 0.29 0.63 0.50  0.07 763.71115390.  2.27 688.7 146674.
 4:11:54 0.89 350.38 224.95 -6.46 1638   2.67   694.0 228172.  2.79  1.17  -5.90   1.42  -0.07 0.28 0.68 0.41  0.07 759.1 894184.  2.23 694.0 206862.
 4:12:34 0.89 350.38 224.94 -6.46 1638   2.17   695.9 270376.  1.35  0.50  -6.04   0.97  -0.51 0.22 0.35 0.42  0.05 722.5 892936.  2.19 687.2 156602.
 4:13:15 0.89 350.38 224.94 -6.46 1638   2.43   699.5 236904. -0.31 -1.85  -5.79   0.21  -1.19 0.32 1.39 0.85  0.09 747.5 998550.  2.17 698.2 211072.
 4:13:55 0.89 350.38 224.93 -6.46 1638   2.46   710.2 238619. -2.65 -0.75  -4.87  -3.01  -1.99 0.34 0.43 0.49  0.06 760.31075681.  2.15 708.4 238307.
 4:14:36 0.89 350.38 224.93 -6.46 1638   2.55   698.6 209876. -1.90 -0.93  -5.14  -2.46  -2.13 0.33 0.50 0.46  0.09 736.6 947407.  2.09 701.8 194959.
 4:15:16 0.89 350.38 224.92 -6.46 1638   2.35   701.6 253172. -1.53 -0.66  -5.31  -2.50  -1.80 0.38 0.50 0.38 -1.00  -1.0     -1.  2.10 700.0 234565.
 4:15:57 0.89 350.38 224.91 -6.46 1638   2.85   693.9 195427.  0.33 -0.75  -5.93  -0.50  -1.68 0.19 0.41 0.45  0.08 748.71182542.  2.22 690.3 187371.
 4:16:37 0.89 350.38 224.91 -6.46 1638   2.49   697.3 259201. -0.29 -0.80  -6.02  -0.51  -1.26 0.22 0.44 0.43 -1.00  -1.0     -1.  2.23 695.6 235552.
 4:17:18 0.89 350.38 224.90 -6.46 1638   2.56   692.1 229003. -1.00  0.16  -5.73  -1.45  -1.53 0.28 0.53 0.59  0.05 755.0 742000.  2.13 693.2 205458.
 4:17:58 0.89 350.38 224.89 -6.46 1638   2.45   691.6 187527.  0.53 -1.15  -5.51  -0.88  -2.23 0.46 1.05 0.75  0.08 766.81518927.  2.22 694.2 229939.
 4:18:39 0.89 350.38 224.89 -6.46 1638   2.46   690.9 226145.  0.65 -0.77  -5.93  -0.10  -1.64 0.20 0.34 0.45 -1.00  -1.0     -1.  2.10 689.3 194232.
 4:19:19 0.89 350.38 224.88 -6.46 1638   2.41   694.4 243193.  0.71 -0.44  -6.08  -0.28  -1.21 0.20 0.41 0.36  0.08 733.9 992937.  2.34 692.4 236228.
 4:20:00 0.89 350.38 224.87 -6.46 1638   2.76   692.3 220064.  1.08 -0.96  -5.99  -0.55  -1.29 0.23 0.50 0.53  0.09 742.21135972.  2.26 691.2 192517.
 4:20:40 0.89 350.38 224.87 -6.46 1638   2.35   695.2 255615. -0.23  0.04  -6.13  -0.80  -0.84 0.20 0.32 0.34  0.07 727.8 885452.  2.18 687.3 155978.
 4:21:21 0.89 350.38 224.86 -6.46 1638   2.49   688.3 205926.  0.53  0.19  -6.14  -0.20  -0.75 0.19 0.37 0.38  0.04 799.1 723912.  2.11 688.5 209357.
 4:22:01 0.89 350.38 224.86 -6.46 1638   2.37   694.4 259253. -0.13  0.81  -6.20  -0.49  -0.11 0.15 0.30 0.26  0.06 760.1 986284.  2.33 693.3 240906.
 4:22:42 0.89 350.38 224.85 -6.46 1638   2.76   692.0 203587.  0.37  0.84  -6.15  -0.93  -0.36 0.16 0.30 0.35 -1.00  -1.0     -1.  2.19 689.3 204159.
 4:23:22 0.89 350.38 224.84 -6.46 1638   2.47   694.5 258006. -0.47 -0.35  -6.17  -0.91  -0.46 0.22 0.50 0.36  0.07 731.0 829319.  2.25 694.8 250313.
 4:24:03 0.89 350.38 224.84 -6.46 1638   2.66   691.8 220687.  0.43 -0.02  -6.08  -1.20  -0.46 0.19 0.42 0.53  0.10 744.01000213.  2.15 688.9 206706.
 4:24:43 0.89 350.38 224.83 -6.46 1638   2.36   696.7 253276. -0.59  0.39  -6.12  -1.18  -0.69 0.27 0.57 0.44  0.08 750.31287325.  2.31 693.0 225885.
 4:25:24 0.89 350.38 224.83 -6.46 1638   2.76   689.2 208629.  0.52  1.34  -6.15  -0.74   0.79 0.22 0.65 0.51  0.03 835.4 470065.  2.20 689.2 200261.
 4:26:04 0.89 350.38 224.82 -6.46 1638   2.51   709.3 223650. -2.45  0.19  -5.13  -2.96  -0.09 0.77 1.59 1.01  0.09 753.21128904.  2.26 710.7 232745.
 4:26:45 0.89 350.38 224.81 -6.46 1638   2.77   696.9 232278. -1.58  0.14  -5.37  -2.83  -0.71 0.39 0.73 0.62  0.05 748.41028904.  2.33 696.6 196727.
 4:27:25 0.89 350.38 224.81 -6.46 1638   2.42   691.9 176404. -0.85 -0.68  -5.58  -2.64  -0.54 0.33 0.63 0.54  0.08 726.1 640128.  2.30 695.8 229835.
 4:28:06 0.89 350.38 224.80 -6.46 1638   2.66   691.7 222195. -0.06  1.06  -5.99  -1.76   0.12 0.36 0.79 0.40  0.06 771.4 948238.  2.29 689.7 194596.
 4:28:46 0.89 350.38 224.79 -6.46 1638   2.40   695.3 240906. -1.12  0.34  -6.04  -1.91  -0.04 0.21 0.34 0.42  0.05 725.1 863830.  2.29 693.8 238567.
 4:29:27 0.89 350.38 224.79 -6.46 1638   2.49   691.3 230459. -0.72 -0.21  -5.99  -1.72  -0.55 0.17 0.32 0.35  0.03 840.8 795015.  2.22 691.2 202288.
 4:30:07 0.89 350.38 224.78 -6.46 1638   2.66   694.9 247611. -1.14  0.60  -5.86  -2.07  -0.30 0.23 0.37 0.27  0.06 727.5 730981.  2.28 693.9 228951.
 4:30:48 0.89 350.38 224.78 -6.46 1638   2.58   690.9 224274. -1.31  1.26  -5.97  -1.83   0.00 0.20 0.39 0.36  0.08 724.1 704162.  2.33 692.1 195375.
 4:31:28 0.89 350.38 224.77 -6.46 1638   2.42   692.0 256758.  0.13  0.13  -6.12  -0.98  -0.10 0.22 0.68 0.45  0.06 734.1 795639.  2.21 686.7 158681.
 4:32:09 0.89 350.38 224.76 -6.46 1638   2.55   687.7 220219.  0.50  0.30  -6.34  -0.31  -0.42 0.18 0.26 0.28  0.07 719.7 642207.  2.02 687.5 206342.
 4:32:49 0.89 350.38 224.76 -6.46 1638   2.34   693.9 281083.  0.37  1.15  -6.29  -0.54   0.28 0.20 0.39 0.27  0.08 737.2 955930.  2.21 686.7 158473.
 4:33:30 0.89 350.38 224.75 -6.46 1638   2.51   693.0 243349. -1.16  1.44  -5.99  -1.83   0.61 0.22 0.47 0.37  0.06 776.91534935.  2.25 692.3 195531.
 4:34:10 0.89 350.38 224.74 -6.46 1638   2.50   700.4 257382. -1.66  0.82  -5.90  -2.07   0.60 0.23 0.54 0.52 -1.00  -1.0     -1.  2.30 696.7 243764.
 4:34:51 0.89 350.38 224.74 -6.46 1638   2.79   692.4 219076. -1.59  1.02  -5.91  -1.98   0.70 0.24 0.46 0.39  0.08 740.01250318.  2.36 693.9 201768.
 4:35:31 0.89 350.38 224.73 -6.46 1638   2.44   693.4 259617. -0.55  1.62  -6.01  -1.65   0.75 0.18 0.42 0.34  0.06 736.2 737634.  2.16 689.3 162059.
 4:36:12 0.89 350.38 224.72 -6.46 1638   2.78   687.0 210136.  0.70  0.33  -6.02  -0.99  -0.05 0.19 0.98 0.65  0.07 775.81327034.  2.32 686.2 203483.
 4:36:52 0.89 350.38 224.72 -6.46 1638   2.53   695.4 189086.  2.90 -0.11  -5.59   2.52  -0.37 0.31 0.39 0.63  0.06 736.2 544702.  2.38 696.9 237943.
 4:37:33 0.89 350.38 224.71 -6.46 1638   2.61   687.2 213982.  0.90  0.67  -6.01   1.08   0.05 0.34 0.82 0.46  0.07 747.51081087.  2.13 685.6 214658.
 4:38:13 0.89 350.38 224.71 -6.46 1638   2.55   704.2 243764.  3.57  0.41  -4.73   3.95  -0.46 0.41 0.46 0.38  0.07 759.31328489.  2.15 701.7 253068.
 4:38:54 0.89 350.38 224.70 -6.46 1638   2.45   704.5 219128.  3.81  0.47  -4.87   3.72  -0.35 0.62 0.85 0.56  0.09 779.71259050.  2.10 701.9 198338.
 4:39:34 0.89 350.38 224.69 -6.46 1638   2.44   696.5 169388.  3.14 -0.85  -4.81   3.90  -0.31 0.54 0.81 0.51  0.05 743.9 652602.  2.04 695.5 239554.
 4:40:15 0.89 350.38 224.69 -6.46 1638   2.51   697.2 235188.  2.70  1.88  -5.02   3.58   0.56 0.40 0.57 0.58  0.06 754.31056762.  2.16 693.9 195011.
 4:40:55 0.89 350.38 224.68 -6.46 1638   2.40   701.9 184149.  3.75  1.08  -4.74   4.04   0.42 0.36 0.44 0.46  0.07 740.2 604993.  2.25 701.3 244492.
 4:41:36 0.89 350.38 224.68 -6.46 1638   2.65   711.2 238723.  4.35  0.77  -4.09   4.66   0.54 0.65 0.58 0.50  0.05 760.7 559255.  2.18 710.2 220219.
 4:42:16 0.89 350.38 224.67 -6.46 1638   2.38   706.5 173754.  3.83 -0.50  -4.14   4.32   0.13 0.90 1.18 1.05  0.07 729.1 803539.  2.13 703.4 224014.
 4:42:57 0.89 350.38 224.66 -6.46 1638   2.44   695.6 211332.  2.73  0.96  -5.32   3.11  -0.58 0.30 0.39 0.41  0.05 798.11145120.  2.22 694.3 188722.
 4:43:37 0.89 350.38 224.66 -6.46 1638   2.43   695.1 189606.  3.05  0.66  -5.38   3.01  -0.03 0.30 0.35 0.36 -1.00  -1.0     -1.  2.28 696.4 239242.
 4:44:18 0.89 350.38 224.65 -6.46 1638   2.70   691.0 196259.  2.28  1.03  -5.54   2.67   0.08 0.25 0.48 0.56  0.07 752.81186700.  2.26 690.0 191165.
 4:44:58 0.89 350.38 224.64 -6.46 1638   2.41   699.2 262527.  3.16  0.52  -5.64   2.55   0.28 0.29 0.57 0.42  0.07 727.01033478.  2.20 697.6 238307.
 4:45:39 0.89 350.38 224.64 -6.46 1638   2.77   692.7 203327.  2.41  0.82  -5.41   2.94  -0.04 0.26 0.37 0.44  0.06 764.1 753019.  2.28 692.5 196675.
 4:46:19 0.89 350.38 224.63 -6.46 1638   2.33   694.7 176092.  2.72  1.29   0.00   0.00   0.00 0.00 0.00 0.00  0.07 747.61084621. -1.00  -1.0     -1.
 4:46:59 0.89 350.38 224.63 -6.46 1638   2.79   690.6 213775.  2.51  1.18   0.00   0.00   0.00 0.00 0.00 0.00  0.07 742.71040546.  2.26 690.0 190646.
 4:47:40 0.89 350.38 224.62 -6.46 1638   2.33   691.6 178483.  2.41  1.09  -5.29   3.09   0.22 0.26 0.42 0.42  0.08 725.3 838466.  2.14 689.3 165853.
 4:48:21 0.89 350.38 224.61 -6.46 1638   2.53   699.1 202444.  3.35  0.72  -5.13   2.73   0.64 0.52 1.65 0.94  0.08 751.61473812.  2.16 699.4 192101.
 4:49:01 0.89 350.38 224.61 -6.46 1638   2.58   696.8 249274.  2.70  1.20  -5.68   2.20   0.83 0.30 0.51 0.48  0.07 736.7 827032.  2.21 693.2 234721.
 4:49:42 0.89 350.38 224.60 -6.46 1638   2.57   690.0 219180.  2.34  1.09  -5.59   2.52   0.66 0.28 0.40 0.42  0.06 751.31308323.  2.30 687.6 216685.
 4:50:22 0.89 350.38 224.59 -6.46 1638   2.61   694.1 186851.  2.39  2.00  -5.47   2.05   1.72 0.31 0.48 0.63  0.05 738.1 727239.  2.30 696.2 237787.
 4:51:03 0.89 350.38 224.59 -6.46 1638   2.71   691.5 217361.  2.14  1.25  -5.38   2.85   0.74 0.42 0.53 0.42  0.06 758.3 760295.  2.31 687.3 210084.
 4:51:43 0.89 350.38 224.58 -6.46 1638   2.44   693.0 184097.  2.51  2.14  -5.46   2.40   1.24 0.38 0.63 0.55  0.07 745.41086076.  2.19 696.4 227288.
 4:52:24 0.89 350.38 224.58 -6.46 1638   2.67   690.0 217829.  1.36  2.02  -5.62   1.93   1.38 0.42 0.91 0.65  0.06 764.2 883997.  2.18 689.3 193764.
 4:53:04 0.89 350.38 224.57 -6.46 1638   2.47   688.6 173546.  2.00  1.31  -5.81   2.13   0.54 0.26 0.45 0.37  0.03 808.8 415179.  2.14 686.1 152288.
 4:53:45 0.89 350.38 224.56 -6.46 1638   2.51   682.8 122766.  1.93  0.57  -6.01   1.68   0.26 0.20 0.32 0.32  0.04 768.2 705617.  2.13 680.0 104470.
 4:54:25 0.89 350.38 224.56 -6.46 1638   2.46   687.6 170063.  1.20  1.15  -6.05   1.48   0.10 0.19 0.30 0.38  0.06 741.2 667571.  2.22 686.0 152028.
 4:55:06 0.89 350.38 224.55 -6.46 1638   2.68   683.9 130926.  1.40  1.31  -6.12   1.28   0.69 0.16 0.30 0.35 -1.00  -1.0     -1.  2.15 679.7 111383.
 4:55:46 0.89 350.38 224.54 -6.46 1638   2.40   685.6 166737.  1.22  1.32  -6.16   1.11   0.66 0.18 0.28 0.34  0.06 734.4 707280.  2.22 682.7 146466.
 4:56:27 0.89 350.38 224.54 -6.46 1638   2.75   681.2 128223.  1.44  1.21  -6.08   1.38   0.92 0.19 0.35 0.35  0.07 712.2 720586.  2.25 679.1 109512.
 4:57:07 0.89 350.38 224.53 -6.46 1638   2.39   685.7 166113.  1.44  1.24  -6.04   1.61   0.88 0.25 0.43 0.36 -1.00  -1.0     -1.  2.16 683.2 152496.
 4:57:48 0.89 350.38 224.52 -6.46 1638   2.51   680.1 122558.  0.64  1.72  -6.25   0.60   1.18 0.18 0.37 0.32  0.05 756.6 901460.  2.15 678.6 111955.
 4:58:28 0.89 350.38 224.52 -6.46 1638   2.54   686.8 176300.  0.39  1.52  -6.25   0.10   1.04 0.16 0.60 0.34 -1.00  -1.0     -1.  2.29 682.9 153847.
 4:59:09 0.89 350.38 224.51 -6.46 1638   2.48   683.6 129678. -0.55  1.79  -6.24  -0.57   1.10 0.19 0.43 0.30  0.06 774.61103332.  2.25 686.6 173494.
 4:59:49 0.89 350.38 224.51 -6.46 1638   2.38   688.0 175001.  0.53  1.77  -6.17  -0.12   1.41 0.20 0.28 0.34  0.06 722.5 907905.  2.15 683.6 158992.
 5:00:30 0.89 350.38 224.50 -6.46 1638   2.53   683.9 142412.  0.48  2.55  -6.04   0.25   1.60 0.22 0.29 0.39  0.06 745.51190651.  2.30 688.1 185084.
 5:01:10 0.89 350.38 224.49 -6.46 1638   2.48   684.9 175157.  1.37  1.22  -6.01   0.57   1.26 0.20 0.66 0.71 -1.00  -1.0     -1.  2.18 682.3 155874.
 5:01:51 0.89 350.38 224.49 -6.46 1638   2.37   692.6 218504.  0.00  0.00  -5.82  -0.47   2.23 0.28 0.61 0.63  0.06 748.6 961752.  2.05 689.2 205510.
 5:02:31 0.89 350.38 224.48 -6.46 1638   2.56   688.7 175833.  0.72  2.55  -5.89   0.15   2.21 0.26 0.20 0.33  0.06 743.6 656968.  2.11 687.1 148649.
 5:03:12 0.89 350.38 224.48 -6.46 1638   2.47   684.6 146311.  1.28  2.43  -5.87   0.00   2.03 0.22 0.53 0.43 -1.00  -1.0     -1.  2.31 685.5 188047.
 5:03:52 0.89 350.38 224.47 -6.46 1638   2.54   688.2 154107.  0.65  2.21  -5.78   0.69   1.84 0.22 0.35 0.38 -1.00  -1.0     -1.  2.24 687.8 146622.
 5:04:33 0.89 350.38 224.46 -6.46 1638   2.58   681.5 130562.  0.53  1.55  -5.89   0.14   1.64 0.26 0.28 0.48  0.05 792.3 932438.  2.26 686.0 164138.
 5:05:13 0.89 350.38 224.46 -6.46 1638   2.59   685.1 159512.  0.35  2.26  -5.93   0.13   1.58 0.20 0.31 0.33 -1.00  -1.0     -1.  2.13 685.0 145115.
 5:05:54 0.89 350.38 224.45 -6.46 1638   2.55   683.2 134408.  0.02  1.90  -5.91   0.09   1.61 0.20 0.29 0.37  0.05 712.4 665076.  2.21 682.0 113254.
 5:06:34 0.89 350.38 224.44 -6.46 1638   2.48   688.4 151820.  0.91  2.12  -5.92   0.46   1.38 0.20 0.36 0.27 -1.00  -1.0     -1.  2.28 687.2 141217.
 5:07:15 0.89 350.38 224.44 -6.46 1638   2.68   683.1 117412.  0.69  1.54  -6.02   0.75   1.17 0.17 0.25 0.27 -1.00  -1.0     -1.  2.19 682.6 104990.
 5:07:55 0.89 350.38 224.43 -6.46 1638   2.57   687.0 170999.  1.22  1.12  -5.82   1.44   0.83 0.40 0.85 0.67 -1.00  -1.0     -1.  2.23 685.5 146674.
 5:08:36 0.89 350.38 224.43 -6.46 1638   2.51   697.5 190594.  3.33 -0.55  -4.93   3.31   0.00 0.55 0.78 0.88  0.07 754.6 643039.  2.10 697.9 177652.
 5:09:16 0.89 350.38 224.42 -6.46 1638   2.52   697.2 182693.  3.31 -0.30  -4.72   3.86  -0.36 0.33 0.41 0.34  0.07 749.31027448.  2.26 694.8 166737.
 5:09:57 0.89 350.38 224.41 -6.46 1638   2.69   694.3 180926.  2.95  0.74  -4.95   3.59  -0.09 0.38 0.49 0.44  0.06 745.41067989.  2.36 691.3 169803.
 5:10:37 0.89 350.38 224.41 -6.46 1638   2.73   693.7 167101.  2.63  0.55  -5.30   2.90   0.64 0.32 0.47 0.40  0.06 735.7 768819.  2.44 691.1 162995.
 5:11:18 0.89 350.38 224.40 -6.46 1638   2.65   698.3 191633.  3.13  0.21  -5.20   3.11   0.36 0.36 0.67 0.69 -1.00  -1.0     -1.  2.22 697.2 183161.
 5:11:58 0.89 350.38 224.39 -6.46 1638   2.48   692.6 165126.  2.98  0.75  -5.16   3.33   0.11 0.31 0.42 0.33 -1.00  -1.0     -1.  2.23 691.4 157329.
 5:12:39 0.89 350.38 224.39 -6.46 1638   2.68   697.6 182797.  3.73  0.33  -4.89   4.01   0.15 0.32 0.36 0.29 -1.00  -1.0     -1.  2.14 699.7 190282.
 5:13:19 0.89 350.38 224.38 -6.46 1638   2.48   699.8 176768.  3.67  0.14  -4.56   4.63  -0.15 0.25 0.33 0.24 -1.00  -1.0     -1.  2.25 697.5 161279.
 5:14:00 0.89 350.38 224.37 -6.46 1638   2.60   704.3 182849.  3.78  0.48  -4.49   4.70   0.08 0.25 0.28 0.25  0.07 744.8 572976.  2.25 700.7 182745.
 5:14:40 0.89 350.38 224.37 -6.46 1638   2.32   698.1 156082.  3.28  1.46  -4.44   4.68   0.16 0.32 0.45 0.58  0.07 736.1 870899.  1.99 694.3 152704.
 5:15:21 0.89 350.38 224.36 -6.46 1638   2.55   702.3 209253.  3.44  0.92  -4.47   4.63   0.21 0.27 0.29 0.33  0.05 739.71046160.  2.22 699.9 180146.
 5:16:01 0.89 350.38 224.36 -6.46 1638   2.65   715.3 211436.  2.89  3.92  -3.97   4.29   0.17 0.40 1.10 2.15  0.07 751.01348656.  2.30 709.2 217621.
 5:16:42 0.89 350.38 224.35 -6.46 1638   2.73   700.3 193972.  3.50  1.25  -4.67   4.25   0.78 0.29 0.44 0.59  0.07 740.51105827.  2.26 699.8 187059.
 5:17:22 0.89 350.38 224.34 -6.46 1638   2.34   696.0 156602.  3.25  1.08  -5.07   3.81   0.76 0.31 0.38 0.45  0.05 759.8 911024.  2.17 691.1 153795.
 5:18:03 0.89 350.38 224.34 -6.47 1638   2.64   694.1 198182.  2.97  0.87  -4.92   4.09   0.59 0.31 0.40 0.39  0.08 748.11165495.  2.23 692.9 178223.
 5:18:43 0.89 350.38 224.33 -6.47 1638   2.22   695.5 174689.  3.10  1.48  -5.03   3.88   0.93 0.31 0.39 0.37  0.08 737.5 830566.  2.15 691.7 152548.
 5:19:24 0.89 350.38 224.32 -6.47 1638   2.45   699.0 190542.  2.74  2.10  -5.07   3.64   1.42 0.32 0.41 0.33  0.06 754.3 844495.  2.16 697.6 182693.
 5:20:04 0.89 350.38 224.32 -6.47 1638   2.47   700.0 168608.  3.23  1.90  -4.76   4.00   1.80 0.27 0.37 0.26  0.04 778.6 663205.  2.17 696.9 158109.
 5:20:45 0.89 350.38 224.31 -6.47 1638   2.77   696.9 175833.  2.40  2.72  -4.88   3.37   2.24 0.30 0.55 0.48 -1.00  -1.0     -1.  2.28 698.6 177028.
 5:21:25 0.89 350.38 224.31 -6.47 1638   2.48   691.7 166321.  1.83  1.91  -5.50   2.73   1.12 0.28 0.53 0.50 -1.00  -1.0     -1.  2.29 686.4 159200.
 5:22:06 0.89 350.38 224.30 -6.47 1638   3.06   702.8 208629.  2.37  3.57  -5.02   2.99   2.17 0.52 0.82 0.81  0.07 774.21352190.  2.45 703.8 190646.
