1981/293   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 3:17:52 0.89  76.52 333.05 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.86 309.7  32969.
 3:19:13 0.89  76.52 333.04 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.01 310.7  24380.
 3:20:34 0.89  76.52 333.03 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.53 310.1  30691.
 3:21:55 0.89  76.52 333.02 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.12 311.0  33004.
 3:23:16 0.89  76.51 333.00 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.98 309.3  28456.
 3:24:37 0.89  76.51 332.99 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.77 309.6  32124.
 3:25:58 0.89  76.51 332.98 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.31 310.5  29109.
 3:27:19 0.89  76.51 332.97 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.56 311.1  30120.
 3:28:40 0.89  76.51 332.96 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.79 309.4  31611.
 3:30:01 0.89  76.51 332.94 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.85 311.3  30126.
 3:31:22 0.89  76.51 332.93 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.04 309.2  26978.
 3:32:43 0.89  76.51 332.92 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.31 308.4  21352.
 3:34:04 0.89  76.51 332.90 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.28 309.9  25552.
 3:35:25 0.89  76.51 332.89 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.81 315.0  27732.
 3:36:46 0.89  76.51 332.88 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.26 314.4  26543.
 3:38:07 0.89  76.51 332.87 -3.31 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.47 315.3  27479.
 3:39:28 0.89  76.51 332.85 -3.31 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.15 313.9  25611.
 4:07:38 0.89  76.51 332.59 -3.31 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.24 310.5  23418.
 4:08:59 0.89  76.51 332.58 -3.31 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.21 308.8  26030.
 4:12:26 0.89  76.51 332.55 -3.31 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.17 304.4  23285.
 4:13:47 0.89  76.51 332.54 -3.31 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.94 308.3  26358.
 4:14:25 0.89  76.51 332.53 -3.31 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.30 306.3  25725.
